N,P,K,temperature,humidity,ph,rainfall,label
15,65,36,24.882329,48.357876,6.560142,63.748269,pigeonpeas
18,139,207,14.435796,83.180804,6.252728,110.951637,grapes
14,21,33,37.223463,51.725472,4.99181,130.340106,mango
28,134,183,12.758798,92.03567,6.181291,87.038589,grapes
18,128,187,15.469641,87.15552,6.899144,118.06429,grapes
103,32,54,24.008896,92.965553,6.919656,150.075672,rice
34,29,39,32.200426,45.669361,4.529363,168.178973,mango
104,53,46,21.397396,78.689035,5.631073,250.187388,rice
93,77,59,33.412443,80.765113,6.909275,179.234551,banana
6,132,190,19.941463,93.345434,6.981024,106.991404,apple
64,59,36,20.246663,82.589885,5.998635,240.869872,rice
84,38,47,26.542298,94.371233,6.593738,51.338699,muskmelon
14,105,182,14.304585,80.40128,5.966423,82.194079,grapes
11,11,52,34.762143,97.728321,5.352051,197.238575,coconut
1,16,19,22.999898,96.838287,7.047842,115.477797,orange
10,60,52,21.541273,71.147449,6.869402,123.091445,coffee
28,76,16,25.798928,79.802366,5.721654,64.984667,blackgram
10,63,28,19.952765,53.248136,6.77104,118.408127,kidneybeans
40,78,92,23.601569,25.031617,6.103093,63.85825,chickpea
6,122,210,18.032992,95.07632,6.249571,153.027309,apple
31,36,54,37.412539,94.596054,7.390129,187.492551,pomegranate
14,37,52,30.639172,86.905477,6.183357,169.644669,coconut
39,21,30,33.367974,55.302647,4.91322,163.538086,mango
2,31,38,37.12315,95.400415,6.287029,127.758371,coconut
92,35,34,21.155747,86.15272,6.485305,186.545432,rice
23,47,17,37.317777,40.140051,5.141539,51.474987,mothbeans
19,81,32,26.579047,60.05874,6.388453,126.439845,pigeonpeas
125,38,28,23.810047,68.791372,7.559845,109.683323,cotton
14,40,30,31.620247,48.986323,5.007894,189.890033,mango
29,25,61,23.223123,90.307457,7.42964,193.465035,pomegranate
81,38,32,26.9389,91.021315,5.562021,273.476701,rice
7,19,44,28.615289,93.018718,5.366546,114.454468,coconut
23,141,187,10.099978,83.163051,6.11331,114.194226,grapes
19,59,30,29.400552,53.896405,6.805518,80.893804,pigeonpeas
119,14,53,30.976675,93.239225,6.274207,31.808983,muskmelon
38,44,19,30.738855,93.493121,7.475806,60.479603,mungbean
13,123,196,15.241741,89.546378,5.618277,84.303183,grapes
20,88,29,26.507131,68.436585,6.625074,67.876841,blackgram
15,39,38,27.89302,91.156415,5.990366,132.143842,pomegranate
18,138,208,12.013583,88.038384,6.831824,93.357582,grapes
110,39,34,27.600271,94.419108,6.866854,173.774262,rice
12,135,204,21.139733,94.573444,5.936475,125.165998,apple
73,39,39,22.94973,90.694428,6.841206,245.50334,rice
87,57,53,22.41632,81.054965,6.542212,284.808648,rice
25,67,36,25.821953,70.714444,6.414374,102.902104,blackgram
66,50,40,20.272086,79.004271,6.017519,239.602168,rice
4,29,41,35.686775,98.274499,6.141413,185.869557,coconut
101,16,52,33.601481,93.37216,6.972597,46.293344,muskmelon
17,71,66,21.175513,29.296096,6.659956,89.689891,chickpea
83,37,53,31.938441,86.473568,6.859725,228.524816,jute
89,11,59,35.16325,95.098009,6.084307,54.0971,watermelon
98,32,59,33.346394,94.95781,6.822113,99.027514,watermelon
17,77,32,27.690461,41.447288,7.025068,108.178611,pigeonpeas
112,36,32,27.850498,55.40097,7.733873,100.735725,cotton
24,118,197,9.564371,83.581675,6.044804,116.654778,grapes
13,13,53,34.000845,92.104135,5.181362,140.525083,coconut
37,137,200,16.781725,91.061108,6.842678,101.993145,grapes
13,109,209,15.743776,85.262304,6.547567,95.153396,grapes
17,137,201,11.117932,88.94496,6.749296,84.21671,grapes
16,133,196,19.25599,95.304485,5.791197,114.867572,apple
73,48,52,20.612684,88.941119,5.709603,250.867222,rice
32,118,180,13.160002,92.72862,5.702903,61.202447,grapes
37,81,17,31.953941,60.288221,6.161054,63.120204,blackgram
63,39,50,30.635805,88.491588,6.107814,183.850746,jute
37,110,189,10.744093,81.981126,5.655451,118.13009,grapes
36,110,204,17.438914,86.577507,6.003315,115.918796,grapes
16,124,181,8.515517,87.164736,6.391181,109.960185,grapes
79,55,65,28.126769,73.301028,7.72537,244.203191,jute
25,61,17,26.025773,74.326666,6.308409,106.93805,blackgram
20,11,29,26.120273,64.385566,4.558121,151.915489,mango
4,11,19,24.949356,92.980776,6.350682,184.577095,orange
19,25,41,26.328564,63.26166,4.768454,127.197315,mango
115,39,55,29.082339,90.455834,5.943198,63.592542,watermelon
12,123,206,20.237846,90.342848,6.725228,155.87447,apple
11,73,35,29.182541,71.214139,6.770458,79.994026,blackgram
24,88,92,23.429134,23.793578,6.917666,81.362881,chickpea
21,44,16,29.451683,93.347739,6.464885,92.651135,mungbean
115,43,45,18.338968,59.754181,7.472368,83.795883,maize
104,27,48,35.507311,92.639158,6.759101,42.772278,muskmelon
35,81,40,19.005947,58.205132,6.285738,138.63933,kidneybeans
20,122,197,17.608487,88.494022,6.842608,115.329287,grapes
117,62,41,21.017742,72.874944,6.127309,61.886264,maize
33,21,43,31.298085,47.690262,5.612383,89.733179,mango
72,54,41,29.265466,84.665692,6.917438,200.89969,jute
107,32,50,20.875922,86.382781,5.619389,287.58765,rice
91,43,50,21.91409,76.433998,6.747972,213.263108,rice
19,35,32,25.834318,74.501476,6.323577,142.70983,coffee
15,74,17,22.631293,56.381521,5.651252,60.308977,pigeonpeas
20,73,87,23.241696,28.963737,7.07529,96.299463,chickpea
21,12,30,35.059583,51.459175,6.326379,101.909453,mango
10,38,50,33.791862,90.081863,7.215942,133.741977,coconut
96,81,45,28.993302,94.158805,5.921702,217.098827,banana
44,64,54,28.458688,91.085227,6.619151,117.923031,papaya
116,11,51,27.124941,90.140141,6.578381,38.674495,muskmelon
111,39,51,28.077795,94.306714,6.769466,81.217312,watermelon
80,40,42,31.192179,87.20199,7.074641,173.103063,jute
25,83,65,23.560917,28.416431,6.912256,40.844263,chickpea
14,138,203,17.497006,85.36065,5.716835,67.904597,grapes
40,14,60,36.375701,94.357848,5.688499,147.896978,pomegranate
53,59,48,25.069283,95.418666,6.881838,206.407132,papaya
112,48,54,21.288834,94.788618,6.986345,224.463483,rice
84,18,53,30.518453,97.05119,6.224236,49.718788,muskmelon
31,25,26,26.421998,63.035635,4.958109,139.33505,mango
19,112,181,15.226947,90.695035,6.587172,124.808786,grapes
36,65,22,21.534133,41.895344,6.934151,134.918445,kidneybeans
31,29,42,32.069465,92.137167,5.801744,105.290713,pomegranate
93,20,57,32.876266,83.950033,6.110305,44.944712,watermelon
117,39,57,29.732276,87.157661,5.945189,94.109167,watermelon
13,135,195,23.799275,93.75684,5.630397,174.58799,apple
12,39,43,37.857847,86.776251,5.764722,186.023273,pomegranate
11,88,31,25.958058,55.801536,6.647218,100.233157,kidneybeans
18,18,42,32.60611,89.26102,6.543423,141.433958,coconut
12,26,36,34.546528,88.318222,5.580422,159.133435,pomegranate
15,37,52,27.425858,66.503481,5.065914,144.131291,mango
90,13,64,34.144999,91.412532,7.22777,52.800612,muskmelon
116,39,36,25.850832,77.069804,6.231355,103.226141,cotton
54,71,55,33.06778,92.419652,6.709378,234.448095,papaya
26,120,198,11.418609,80.627819,6.834901,64.535115,grapes
43,65,50,33.347156,95.892986,7.257537,133.985615,papaya
29,119,200,14.546647,93.562064,6.493631,119.965373,grapes
15,56,21,16.840208,76.689648,7.540593,79.537921,lentil
16,18,51,35.790157,87.694971,7.184183,185.122362,coconut
5,26,8,18.903248,92.753699,6.706003,178.059453,orange
32,62,23,25.861018,56.364722,6.676068,133.09225,kidneybeans
23,138,205,11.45225,89.448837,6.882084,64.236543,grapes
31,120,192,14.113652,86.14302,5.797158,61.925225,grapes
84,39,56,32.041936,89.58652,7.303073,234.433152,jute
36,102,207,14.497591,86.645553,6.416749,109.82578,grapes
78,52,45,33.203221,83.426124,6.722316,189.794974,jute
10,29,37,19.46243,93.514939,6.817886,105.430595,pomegranate
31,30,52,28.673044,46.083868,6.563409,146.198597,mango
14,36,36,29.092182,98.604556,6.357307,154.768391,coconut
114,63,23,29.51716,59.765244,7.244242,79.387654,cotton
69,44,36,29.477595,86.764146,7.732712,192.541963,jute
23,68,34,25.799504,40.568437,5.638804,124.112532,pigeonpeas
15,76,21,28.075773,53.227409,5.645529,66.460035,pigeonpeas
20,119,191,13.461987,93.079238,6.50233,118.544526,grapes
12,62,80,24.297396,37.083281,6.657039,94.898338,chickpea
15,136,183,12.496079,94.923719,6.02805,119.232095,grapes
14,30,29,33.570375,95.681201,5.321318,157.262898,coconut
37,38,49,25.818366,86.372286,6.883604,122.329096,pomegranate
54,71,56,37.185072,92.752688,6.76913,213.487439,papaya
31,62,34,20.248674,52.621147,6.878362,127.345126,kidneybeans
18,40,32,25.981621,93.589714,7.347665,145.461494,coconut
84,34,58,37.2805,84.777894,6.297584,51.620461,watermelon
13,129,187,12.676774,94.002715,6.193014,95.047954,grapes
118,41,24,25.756855,74.359787,7.234921,61.428631,cotton
17,16,44,31.878855,55.640333,5.597606,133.164103,mango
26,113,208,12.706975,94.445231,6.291409,98.594398,grapes
115,62,35,22.611011,58.010436,6.42295,101.719813,cotton
140,60,24,26.965649,69.351461,7.843067,72.375051,cotton
58,67,49,32.862157,98.73248,6.899592,237.427953,papaya
39,66,18,33.073266,73.013136,5.833415,111.127974,blackgram
27,61,22,23.5237,54.462181,6.895018,98.824798,kidneybeans
17,74,39,18.186771,44.256948,6.936959,100.876818,kidneybeans
24,116,201,15.292815,88.130092,6.431099,95.788648,grapes
26,64,32,18.085188,42.980773,5.873439,103.136026,kidneybeans
9,50,52,16.553625,68.929467,6.998602,213.077838,coffee
28,12,47,31.584403,92.408436,7.415504,114.987932,pomegranate
18,85,19,20.944135,57.414342,6.82226,103.944234,kidneybeans
14,55,30,15.388474,66.174787,6.945717,111.41502,coffee
34,59,34,27.805893,51.332769,3.850591,71.492188,mothbeans
28,125,189,9.349219,87.472493,5.892732,127.474426,grapes
13,57,31,22.883254,44.868547,6.361225,131.601776,kidneybeans
13,10,65,25.14089,93.609233,7.325842,147.227598,pomegranate
20,29,50,37.872377,97.058078,5.052749,108.181276,coconut
37,59,97,23.363317,23.524205,6.504875,59.800892,chickpea
15,140,201,21.977005,95.133907,6.690876,127.327142,apple
39,60,40,34.428773,92.961705,6.149743,67.890455,mungbean
22,63,23,19.475981,60.831138,8.051113,39.960691,lentil
119,72,61,35.005429,87.521988,6.000248,137.192463,banana
19,80,20,27.314315,48.438866,5.91182,129.371635,pigeonpeas
3,136,196,23.495031,98.407142,6.998353,109.180221,apple
118,31,45,20.302862,78.668721,6.41579,253.107738,rice
100,94,43,25.708547,93.043318,6.527722,124.921066,banana
14,130,197,12.696866,94.084402,5.535526,75.413413,grapes
14,104,184,16.514095,84.214872,6.338816,65.597643,grapes
10,111,185,12.313201,88.729867,5.68683,105.682129,grapes
99,53,61,37.810647,73.119203,6.653302,169.920477,jute
106,20,50,32.364137,98.299208,7.454905,27.708155,muskmelon
5,13,28,34.163277,90.109252,7.093889,175.846297,coconut
13,30,27,35.307794,87.654506,7.828146,162.150209,coconut
89,38,60,36.980843,85.823327,5.903805,41.119089,watermelon
32,118,185,17.249501,93.567388,6.533289,98.378509,grapes
56,63,52,32.234717,91.838181,6.572457,180.256092,papaya
22,141,204,10.739105,88.586994,6.231986,94.344027,grapes
27,58,29,27.011191,86.878218,6.81009,66.134391,mungbean
29,16,54,29.828088,46.518041,6.129932,180.436355,mango
39,56,15,34.579719,76.390568,6.332607,104.509945,blackgram
11,100,195,13.068864,92.323164,5.80935,107.169527,grapes
85,14,51,31.342,92.430158,6.201957,75.470088,watermelon
18,143,208,19.862575,95.117459,6.975599,185.003183,apple
122,59,37,26.053937,67.017222,6.91666,100.578293,cotton
37,57,34,25.952813,84.354088,7.243594,84.694303,mungbean
15,127,203,21.673698,96.079346,6.211857,129.305955,apple
18,25,61,19.502007,88.21273,7.046302,196.55219,pomegranate
1,122,192,20.840649,96.179247,5.768676,113.762183,apple
34,108,206,13.754611,93.370399,5.685424,61.083967,grapes
16,19,48,37.415399,92.407348,7.722047,152.764818,coconut
97,35,58,35.193619,81.016103,6.681408,43.323019,watermelon
17,65,23,31.778831,41.034269,5.683735,140.10558,pigeonpeas
105,18,47,29.837294,98.2452,6.355057,32.903914,muskmelon
127,62,32,22.273547,66.284726,7.370032,93.150325,cotton
38,60,18,30.939138,82.701252,6.64876,46.340731,mungbean
19,26,35,26.380368,89.585105,6.797593,160.888627,pomegranate
31,37,23,30.143546,94.118538,6.451929,54.489308,mungbean
10,13,42,35.654239,90.614284,7.996105,191.473357,coconut
22,139,185,16.119159,86.927586,6.112101,103.468965,grapes
35,78,36,33.079728,68.684974,5.735752,80.898371,blackgram
38,15,39,32.451155,57.404287,5.9428,87.811796,mango
30,118,207,11.222125,87.907191,6.334335,93.313589,grapes
82,11,58,36.90162,86.398022,6.940364,76.894189,watermelon
92,31,57,35.099435,95.301426,6.584095,27.135311,muskmelon
16,140,195,19.461267,93.045063,5.559656,197.269159,apple
86,37,46,32.833537,80.896413,6.316637,47.169942,watermelon
5,129,192,18.414885,90.358099,6.774673,158.814709,apple
20,82,16,31.150426,57.496536,5.5699,137.374063,pigeonpeas
9,12,43,28.200685,89.367535,6.917389,130.134381,coconut
130,53,38,30.566663,63.810251,7.576452,67.282055,cotton
3,131,196,18.799312,97.630387,5.641714,192.878906,apple
17,143,190,12.555804,81.892914,6.148362,91.274958,grapes
121,50,31,22.359687,65.200126,6.310649,71.760887,cotton
39,33,34,33.445235,62.562199,5.630463,150.025872,mango
17,80,26,33.114333,69.904448,6.18995,100.58587,blackgram
138,56,16,37.956166,67.98272,6.594889,72.836947,cotton
29,66,60,23.286929,26.953318,6.565194,51.485059,chickpea
118,34,52,27.706287,85.287973,6.654691,234.350581,rice
113,37,64,24.207199,88.892674,6.779665,45.536531,watermelon
15,37,50,37.841184,58.709327,5.472825,111.486515,mango
61,51,57,34.813457,72.939279,7.522823,171.206203,jute
99,35,58,29.339083,96.72465,7.272931,33.655818,muskmelon
1,39,25,30.619147,94.164719,7.506307,181.102069,coconut
101,29,55,26.694416,80.748589,5.895733,58.565698,watermelon
12,138,196,17.844702,83.774926,6.951145,81.004166,grapes
120,25,52,29.81323,96.27781,6.305592,24.171752,muskmelon
112,11,47,32.126662,98.370827,6.07183,27.28304,muskmelon
114,26,58,35.208368,95.046576,6.451202,29.753231,muskmelon
88,50,44,34.662117,89.54596,7.461626,180.750696,jute
26,142,206,15.148939,91.753406,6.346125,88.142988,grapes
13,23,37,27.427426,52.243933,5.392276,126.813088,mango
27,64,15,23.687399,45.349226,6.422372,103.152924,kidneybeans
28,70,32,18.991636,42.63688,6.625002,100.37295,kidneybeans
31,110,209,8.71483,79.993495,5.562126,72.379676,grapes
19,134,197,11.399332,94.603333,5.635414,84.84982,grapes
12,11,36,25.116402,68.379018,5.580928,84.763571,mango
31,130,185,9.40907,84.388862,6.259191,91.069211,grapes
123,59,28,26.73363,68.373475,7.612893,70.325361,cotton
19,42,30,26.970679,57.006739,6.089051,110.863996,coffee
29,143,202,17.434739,91.63293,6.537508,104.659822,grapes
13,38,12,21.237623,89.293955,6.834936,167.524977,orange
108,36,54,26.895687,92.870238,6.091307,75.796333,watermelon
11,86,26,23.874854,56.940143,6.655256,116.725186,kidneybeans
13,25,34,34.742068,87.724739,6.984111,130.979445,coconut
92,24,58,33.559214,92.886699,6.082065,53.377466,muskmelon
43,65,58,34.392409,95.674266,7.331865,101.298071,papaya
17,61,24,30.721712,42.965178,6.177455,91.522269,pigeonpeas
10,18,41,28.315859,87.360362,5.349367,136.793952,coconut
33,89,31,19.259834,56.477523,6.804758,140.003968,kidneybeans
35,56,26,33.459154,69.298447,6.387439,94.846667,blackgram
93,30,62,28.392503,80.603343,6.532808,91.489491,watermelon
37,11,51,31.699613,94.914682,7.094364,182.104309,pomegranate
14,51,32,25.289076,62.326378,6.546968,154.053735,coffee
16,24,35,31.291416,95.849506,6.227674,117.539075,coconut
4,31,40,25.489911,85.186404,6.10986,112.655021,coconut
84,15,63,33.545825,83.567354,6.855802,42.069489,watermelon
37,74,99,23.813595,38.337003,6.162577,76.69651,chickpea
14,36,36,33.07065,91.7088,7.84452,173.157125,coconut
14,124,204,23.942984,95.191826,5.857205,188.631252,apple
24,117,180,15.786791,94.56439,5.86314,76.184293,grapes
72,49,37,35.804659,71.09703,6.063276,184.739804,jute
23,85,24,31.106257,43.7162,6.224163,115.090933,pigeonpeas
4,10,34,35.124772,90.178477,7.272575,120.572516,coconut
14,26,16,18.976082,88.979567,6.578638,120.967913,orange
37,60,15,31.374498,40.47881,5.536033,68.464558,pigeonpeas
102,64,15,31.184985,79.081645,7.883817,111.743029,cotton
96,14,62,37.00309,96.093311,7.281644,24.378763,muskmelon
27,102,194,16.307736,87.686961,5.55616,118.252713,grapes
11,130,192,21.010886,91.63589,6.790996,151.229994,apple
114,11,64,35.623072,94.428034,6.460541,67.193717,watermelon
111,37,52,23.102455,93.097795,6.357414,175.951198,rice
30,109,208,13.444309,86.64136,5.501739,91.427066,grapes
26,71,21,34.647971,79.014669,6.448688,115.211414,blackgram
42,71,51,29.2327,91.212091,6.514568,115.431956,papaya
38,36,40,26.11789,94.527009,6.610039,196.71287,pomegranate
9,32,32,27.911922,87.796589,5.326599,193.085778,coconut
12,38,55,36.12435,63.342689,5.381608,198.98818,mango
40,83,35,31.870838,44.64449,5.644033,133.551271,pigeonpeas
84,51,56,29.2051,70.772802,6.047169,189.188412,jute
19,19,45,28.021763,97.85408,5.387605,186.587121,coconut
23,130,189,12.793336,86.145708,5.562499,95.390895,grapes
2,142,202,18.039736,93.74178,6.705465,154.002959,apple
16,140,200,11.761122,82.407595,5.846088,114.069205,grapes
4,137,192,21.065301,90.059342,6.375782,134.742591,apple
16,18,28,37.31542,90.259003,5.367394,155.158155,coconut
26,80,34,29.024206,60.522174,6.494089,138.6724,pigeonpeas
16,31,53,31.416853,92.229318,5.065537,126.910208,coconut
17,39,38,25.02491,95.393988,5.618244,198.814476,coconut
11,119,204,14.247794,93.054641,6.429581,110.19055,grapes
30,60,18,23.036886,60.565786,5.737656,132.22319,pigeonpeas
85,44,49,26.980821,75.929192,7.714585,183.354991,jute
129,62,19,28.600027,65.205825,7.562172,75.850068,cotton
10,69,18,31.943679,64.194654,6.523077,106.344248,blackgram
103,37,15,30.993424,57.78637,6.175083,85.326265,cotton
53,64,43,28.888578,91.984875,7.145514,163.944037,papaya
33,129,181,15.338219,93.328643,6.096014,111.332112,grapes
82,57,57,31.793424,76.051916,7.413496,169.226064,jute
130,58,21,26.587583,55.570047,6.243643,118.093854,cotton
16,34,9,14.649424,87.321136,6.82691,125.815485,orange
109,48,49,20.919284,86.652303,6.855267,227.19634,rice
112,40,55,35.010865,92.187416,6.840635,59.261972,muskmelon
38,23,46,27.048261,49.000563,6.316868,198.410709,mango
13,13,12,26.466452,95.29898,6.751256,186.91161,orange
1,123,207,18.640671,91.981408,5.808577,132.525467,apple
33,88,17,27.585402,79.086865,6.102076,107.145908,blackgram
38,140,197,11.678034,92.523312,5.944314,92.22801,grapes
20,18,29,31.520224,55.596981,6.886699,80.815576,mango
11,54,32,36.566818,52.978808,5.814648,62.309353,mothbeans
112,54,22,34.683889,67.760501,6.822513,107.066313,cotton
27,119,192,17.335606,80.6753,6.442476,92.581541,grapes
30,140,196,10.639914,82.895952,5.453226,69.943636,grapes
6,20,49,26.974527,93.235336,6.684426,151.212081,coconut
105,16,61,27.389127,96.805789,7.36686,33.125261,muskmelon
16,31,37,31.281647,96.675924,5.65146,178.881013,coconut
4,31,15,15.460945,92.953079,6.590237,147.2582,orange
104,34,46,34.883508,91.748474,6.388793,43.983805,muskmelon
9,131,195,23.116746,91.757044,6.193394,115.709787,apple
60,47,61,27.94057,84.458498,6.849469,240.612751,jute
25,73,25,22.943606,42.856368,6.906932,121.351702,kidneybeans
67,40,46,36.967257,81.260052,6.638845,170.695549,jute
12,144,182,12.807786,95.07745,5.913082,126.518832,grapes
5,59,29,22.447809,56.097881,6.473225,116.381792,coffee
39,117,196,8.428915,87.444372,5.849131,101.530015,grapes
83,80,46,33.10902,79.679285,5.533368,187.556604,banana
23,89,23,24.420204,55.9578,6.40553,86.862215,pigeonpeas
15,143,198,18.876506,95.852479,6.546158,163.871084,apple
33,57,28,21.097761,42.428041,6.581251,100.148176,kidneybeans
128,41,33,31.569975,66.105306,7.745403,115.023001,cotton
114,60,29,19.130721,54.611817,6.350728,96.195797,maize
38,33,54,35.326885,67.884791,5.954514,103.217284,mango
23,123,183,13.143665,93.906246,6.448678,112.265388,grapes
117,43,32,33.371485,70.353523,6.040575,65.645398,cotton
4,36,28,30.351686,86.39999,5.669072,112.36652,coconut
133,48,35,25.587277,56.890123,6.879535,100.812746,cotton
101,45,29,22.451375,78.864673,7.659353,93.041669,cotton
25,83,22,26.318515,47.822497,5.561341,67.485525,pigeonpeas
16,130,198,10.869211,81.82179,5.591193,105.977977,grapes
13,17,42,25.990009,59.599135,6.733123,123.234696,mango
23,11,44,23.016304,93.691136,5.655189,190.605309,pomegranate
17,38,16,12.776901,86.962154,6.25257,140.322579,orange
30,25,49,27.932502,89.833703,6.620602,121.733276,pomegranate
87,68,45,33.417629,93.530871,5.505483,190.363514,banana
15,132,197,22.976701,94.585425,6.455813,133.173568,apple
28,76,32,24.908931,58.000309,5.642708,139.193503,pigeonpeas
29,56,19,28.016605,41.752975,6.635611,143.36493,pigeonpeas
57,60,53,26.553929,98.417369,7.129145,150.789332,papaya
9,15,41,30.994249,92.873566,7.92868,181.391039,coconut
39,32,40,34.144487,58.721068,6.164688,144.324525,mango
0,141,205,18.869783,92.02926,6.030474,191.316865,apple
96,55,36,33.474906,82.121393,6.812889,192.453731,jute
8,121,202,23.117025,97.926461,6.592813,101.500745,apple
19,124,203,23.763684,95.893196,6.305133,157.332994,apple
107,54,38,23.259947,76.955683,6.689679,247.777652,rice
17,35,52,35.172951,89.205504,5.367994,189.789705,coconut
28,20,49,35.94708,47.067764,6.485528,167.617715,mango
110,49,16,35.939537,58.967203,6.746824,64.334682,cotton
81,30,52,35.52223,95.484629,6.864506,48.488776,muskmelon
134,48,19,34.406462,66.077087,7.374763,72.743726,cotton
21,67,24,28.634194,60.441242,7.027534,77.337044,pigeonpeas
30,21,35,33.862876,67.137415,6.894951,113.920688,mango
93,15,53,25.797237,84.603942,5.86878,86.273733,watermelon
33,36,30,33.880943,54.946432,4.913264,128.158622,mango
10,13,27,24.087462,89.760681,5.531824,136.600957,coconut
16,129,189,11.55076,80.689926,6.360862,127.044792,grapes
114,35,50,33.567213,85.850645,6.219161,75.075828,watermelon
73,59,62,25.479218,80.308043,7.182894,243.248535,jute
13,131,195,12.093075,83.223606,5.790682,127.687592,grapes
19,27,29,24.545739,87.475599,5.519205,160.027945,coconut
18,140,201,13.366409,87.904474,6.447107,98.864303,grapes
107,65,32,23.18685,79.201056,6.059793,85.506764,cotton
24,122,194,13.343163,92.492016,5.538693,72.496753,grapes
101,36,27,35.980083,56.271256,7.07197,79.474668,cotton
19,64,16,32.479828,72.01496,6.908356,72.995365,blackgram
29,71,27,31.051857,54.422168,6.426131,67.519309,pigeonpeas
102,55,39,24.677961,70.577471,7.004797,108.945868,cotton
101,16,60,27.19124,94.779639,7.057786,24.177799,muskmelon
107,15,52,28.307385,84.059741,6.236671,79.389558,watermelon
34,56,37,27.403018,85.475168,6.879251,60.315485,mungbean
38,35,33,35.983972,65.127381,5.153919,190.538975,mango
8,137,192,20.543969,96.428232,6.443116,196.384015,apple
32,15,55,37.328352,90.612559,6.921977,190.856859,pomegranate
30,55,27,34.922631,84.508988,6.498533,80.206733,mungbean
38,85,40,24.041272,51.076353,6.428287,109.737433,kidneybeans
50,61,53,34.958887,95.275627,7.448539,113.86974,papaya
31,68,16,32.259353,61.485522,5.815953,64.351868,blackgram
12,50,33,24.695743,66.808269,6.87333,197.157786,coffee
30,84,32,29.900296,40.010978,6.738704,146.72958,pigeonpeas
25,18,40,25.523363,46.858182,5.548516,152.345467,mango
20,50,17,33.199333,89.319969,6.058821,79.451277,mungbean
87,40,51,21.467446,83.11617,5.499756,154.258238,rice
20,32,55,26.253204,86.269695,5.184784,192.905352,coconut
67,60,37,36.355381,83.946355,6.684945,216.045671,jute
94,27,46,37.247582,90.918173,6.875448,45.144605,muskmelon
33,68,39,25.183066,67.267392,5.967736,106.796079,blackgram
25,16,41,34.786506,88.943662,6.306038,151.432807,pomegranate
17,66,30,20.587781,59.589678,6.868724,127.234371,kidneybeans
27,27,33,27.366389,52.186088,6.925857,116.713781,mango
102,16,53,33.696721,98.810823,6.671169,48.559713,muskmelon
15,110,194,15.841049,94.511154,6.058765,81.248641,grapes
15,133,209,23.876917,98.758044,6.680173,154.107362,apple
96,39,41,25.221871,85.695874,6.743597,150.687419,jute
120,57,31,22.327057,77.268079,6.892729,285.245979,rice
35,109,181,8.938603,88.410082,6.144944,91.032883,grapes
36,60,17,25.525062,51.035126,6.439956,73.82255,pigeonpeas
30,12,59,25.194887,88.010477,6.943423,176.722156,pomegranate
21,137,191,12.313075,85.458186,5.706587,84.530008,grapes
36,20,54,35.783453,55.357619,6.388719,100.44752,mango
31,56,39,33.223018,46.826739,4.406705,75.732378,mothbeans
